fipscode,last,party,votepct
05059,Carroll,ASP,0.000876
05059,Myers,Oth,0.000637
05059,De La Fuente,Ind,0.000478
05059,La Riva,PSL,0.000478
05061,Trump,GOP,0.696525
05061,Biden,Dem,0.277203
05061,Jorgensen,Lib,0.005585
05061,Collins,Ind,0.004137
05061,West,Ind,0.003517
05061,La Riva,PSL,0.002896
05061,Blankenship,CST,0.002689
05061,Hawkins,Grn,0.002276
05061,Pierce,Ind,0.002069
05061,Gammon,Ind,0.001655
05061,Carroll,ASP,0.000827
05061,De La Fuente,Ind,0.000414
05061,Myers,Oth,0.000207
05063,Trump,GOP,0.775221
05063,Biden,Dem,0.193357
05063,Jorgensen,Lib,0.01013
05063,Collins,Ind,0.006822
05063,West,Ind,0.003997
05063,Pierce,Ind,0.003101
05063,Blankenship,CST,0.001998
05063,Hawkins,Grn,0.001585
05063,Gammon,Ind,0.001171
05063,Carroll,ASP,0.001103
05063,La Riva,PSL,0.00062
05063,Myers,Oth,0.000482
05063,De La Fuente,Ind,0.000413
05065,Trump,GOP,0.797074
05065,Biden,Dem,0.175731
05065,Jorgensen,Lib,0.009466
05065,Blankenship,CST,0.005164
05065,West,Ind,0.00241
05065,Myers,Oth,0.002238
05065,Carroll,ASP,0.002065
05065,Collins,Ind,0.002065
05065,Gammon,Ind,0.001377
05065,Pierce,Ind,0.001033
05065,Hawkins,Grn,0.000688
05065,De La Fuente,Ind,0.000344
05065,La Riva,PSL,0.000344
05067,Trump,GOP,0.705755
05067,Biden,Dem,0.26812
05067,Jorgensen,Lib,0.007268
05067,West,Ind,0.004911
05067,Blankenship,CST,0.003732
05067,Myers,Oth,0.002161
05067,Collins,Ind,0.001964
05067,Carroll,ASP,0.001571
05067,De La Fuente,Ind,0.001571
05067,Hawkins,Grn,0.000982
05067,La Riva,PSL,0.000982
05067,Gammon,Ind,0.000589
05067,Pierce,Ind,0.000393
05069,Trump,GOP,0.378448
05069,Biden,Dem,0.595477
05069,West,Ind,0.005247
05069,Jorgensen,Lib,0.004213
05069,De La Fuente,Ind,0.003061
05069,La Riva,PSL,0.002902
05069,Collins,Ind,0.002385
05069,Carroll,ASP,0.002345
05069,Gammon,Ind,0.001948
05069,Pierce,Ind,0.001073
05069,Hawkins,Grn,0.001033
05069,Blankenship,CST,0.000954
05069,Myers,Oth,0.000914
05071,Trump,GOP,0.73047
05071,Biden,Dem,0.240366
05071,Jorgensen,Lib,0.010213
05071,Collins,Ind,0.003264
05071,West,Ind,0.003159
05071,Hawkins,Grn,0.002632
05071,Pierce,Ind,0.002527
05071,Blankenship,CST,0.002106
05071,De La Fuente,Ind,0.00179
05071,Carroll,ASP,0.001369
05071,La Riva,PSL,0.001158
05071,Gammon,Ind,0.000632
05071,Myers,Oth,0.000316
05073,Trump,GOP,0.655842
05073,Biden,Dem,0.313177
05073,West,Ind,0.008212
05073,Collins,Ind,0.004853
05073,La Riva,PSL,0.004479
05073,Jorgensen,Lib,0.003359
05073,Pierce,Ind,0.002613
05073,Blankenship,CST,0.00224
05073,Hawkins,Grn,0.001866
05073,De La Fuente,Ind,0.001866
05073,Myers,Oth,0.00112
05073,Gammon,Ind,0.000373
05073,Carroll,ASP,0.0
05075,Trump,GOP,0.780092
05075,Biden,Dem,0.184395
05075,Jorgensen,Lib,0.008878
05075,Collins,Ind,0.008366
05075,Blankenship,CST,0.007683
05075,West,Ind,0.002732
05075,Pierce,Ind,0.002049
05075,Carroll,ASP,0.001537
05075,Myers,Oth,0.001537
05075,Hawkins,Grn,0.001366
05075,De La Fuente,Ind,0.000512
05075,Gammon,Ind,0.000512
05075,La Riva,PSL,0.000341
05077,Trump,GOP,0.451545
05077,Biden,Dem,0.499649
05077,La Riva,PSL,0.009129
05077,Gammon,Ind,0.008427
05077,Collins,Ind,0.00632
05077,West,Ind,0.005267
05077,Blankenship,CST,0.004916
05077,Carroll,ASP,0.002809
05077,Pierce,Ind,0.002809
05077,Jorgensen,Lib,0.002809
05077,Hawkins,Grn,0.002458
05077,De La Fuente,Ind,0.002107
05077,Myers,Oth,0.001756
05079,Trump,GOP,0.704258
05079,Biden,Dem,0.266323
05079,Collins,Ind,0.005419
05079,Jorgensen,Lib,0.005419
05079,Hawkins,Grn,0.005161
05079,La Riva,PSL,0.004129
05079,West,Ind,0.003613
05079,Gammon,Ind,0.001548
05079,De La Fuente,Ind,0.001032
05079,Myers,Oth,0.001032
05079,Blankenship,CST,0.000774
05079,Pierce,Ind,0.000774
05079,Carroll,ASP,0.000516
05081,Trump,GOP,0.717597
05081,Biden,Dem,0.236817
05081,Blankenship,CST,0.016032
05081,Jorgensen,Lib,0.008499
05081,Myers,Oth,0.005602
05081,La Riva,PSL,0.00367
05081,West,Ind,0.003284
05081,Gammon,Ind,0.002511
05081,Collins,Ind,0.002125
05081,Pierce,Ind,0.001738
05081,Hawkins,Grn,0.001352
05081,Carroll,ASP,0.000579
05081,De La Fuente,Ind,0.000193
05083,Trump,GOP,0.7831
05083,Biden,Dem,0.18772
05083,Jorgensen,Lib,0.010699
05083,Blankenship,CST,0.003404
05083,Collins,Ind,0.003283
05083,West,Ind,0.002918
05083,Hawkins,Grn,0.001945
05083,Myers,Oth,0.001702
05083,Pierce,Ind,0.001581
05083,Gammon,Ind,0.001459
05083,Carroll,ASP,0.000851
05083,La Riva,PSL,0.000729
05083,De La Fuente,Ind,0.000608
05085,Trump,GOP,0.746331
05085,Biden,Dem,0.218055
05085,Jorgensen,Lib,0.013143
05085,Gammon,Ind,0.004044
05085,Myers,Oth,0.004011
05085,De La Fuente,Ind,0.003164
05085,Hawkins,Grn,0.002348
05085,West,Ind,0.002316
05085,Blankenship,CST,0.002055
05085,Collins,Ind,0.001565
05085,La Riva,PSL,0.001207
05085,Pierce,Ind,0.001141
05085,Carroll,ASP,0.00062
05087,Trump,GOP,0.769691
05087,Biden,Dem,0.212624
05087,Jorgensen,Lib,0.007346
05087,Hawkins,Grn,0.002585
05087,Collins,Ind,0.002449
05087,West,Ind,0.00136
05087,Pierce,Ind,0.001088
05087,De La Fuente,Ind,0.000816
05087,La Riva,PSL,0.000544
05087,Carroll,ASP,0.000408
05087,Blankenship,CST,0.000408
05087,Gammon,Ind,0.000408
05087,Myers,Oth,0.000272
